City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cockburn Town,TC,21.4612,-71.1419,80.56,65,40,17.27,scattered clouds
1,Port Alfred,ZA,-33.5906,26.891,71.19,91,6,5.01,clear sky
2,Nkhotakota,MW,-12.9274,34.2961,73.24,87,99,6.53,light rain
3,Luena,AO,-11.7833,19.9167,61.92,93,76,7.4,broken clouds
4,Ribeira Grande,PT,38.5167,-28.7,61.77,88,20,11.99,few clouds
5,Birao,CF,10.2849,22.7882,81.05,11,65,5.23,broken clouds
6,Ribeira Brava,PT,32.65,-17.0667,63.23,49,25,3.94,scattered clouds
7,Hithadhoo,MV,-0.6,73.0833,81.14,70,69,11.14,broken clouds
8,Georgetown,MY,5.4112,100.3354,76.95,99,20,2.3,few clouds
9,Ushuaia,AR,-54.8,-68.3,47.86,57,40,29.93,light rain
10,San Lorenzo,PY,-25.3333,-57.5333,90.59,36,75,8.05,broken clouds
11,Upernavik,GL,72.7868,-56.1549,-14.89,96,99,1.63,overcast clouds
12,Mana,GF,5.6592,-53.7767,77.68,86,99,13.11,overcast clouds
13,Jamestown,US,42.097,-79.2353,45.99,33,100,14.97,overcast clouds
14,Rudnichnyy,RU,59.617,52.4703,-7.64,100,92,2.98,overcast clouds
15,Hermanus,ZA,-34.4187,19.2345,69.8,80,97,8.57,overcast clouds
16,Interlaken,US,36.9513,-121.7338,56.28,88,0,11.5,clear sky
17,Bubaque,GW,11.2833,-15.8333,77.94,70,28,10.94,scattered clouds
18,Torbay,CA,47.6666,-52.7314,27.57,72,75,31.07,broken clouds
19,Farafangana,MG,-22.8167,47.8333,74.82,88,96,8.77,moderate rain
20,Nouadhibou,MR,20.931,-17.0347,71.58,33,100,16.11,overcast clouds
21,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,89,9.95,light rain
22,Meulaboh,ID,4.1363,96.1285,74.28,89,97,3.78,overcast clouds
23,Busselton,AU,-33.65,115.3333,65.86,84,6,14.32,clear sky
24,Oranjemund,NA,-28.55,16.4333,63.93,92,4,15.14,clear sky
25,Bridgeton,US,39.4273,-75.2341,51.98,40,0,8.05,clear sky
26,Andenes,NO,69.3143,16.1194,37.38,56,40,18.41,light rain
27,Chuy,UY,-33.6971,-53.4616,78.28,49,10,10.85,clear sky
28,Dikson,RU,73.5069,80.5464,-3.71,97,100,2.48,overcast clouds
29,East London,ZA,-33.0153,27.9116,76.14,88,0,9.22,clear sky
30,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,75.2,90,99,3.49,overcast clouds
31,Narsaq,GL,60.9167,-46.05,19.62,87,100,6.33,overcast clouds
32,Punto Fijo,VE,11.6956,-70.1996,82.9,59,14,32.3,few clouds
33,Faya,SA,18.3851,42.4509,55.92,62,98,5.03,overcast clouds
34,Codrington,AU,-38.2667,141.9667,56.32,85,45,6.26,scattered clouds
35,San Carlos De Bariloche,AR,-41.1456,-71.3082,80.35,19,0,25.32,clear sky
36,Ullal,IN,12.8,74.85,81.55,78,85,0.0,overcast clouds
37,Punta Arenas,CL,-53.15,-70.9167,53.71,43,0,35.68,clear sky
38,Matamba,TZ,-8.9833,33.9667,56.57,92,100,3.89,overcast clouds
39,Kangaatsiaq,GL,68.3065,-53.4641,-5.67,87,100,11.7,overcast clouds
40,Gidole,ET,5.65,37.3667,65.84,27,12,1.95,few clouds
41,Roald,NO,62.5833,6.1333,42.94,87,75,14.97,broken clouds
42,Camana,PE,-16.6228,-72.7111,77.31,77,88,6.08,overcast clouds
43,San Cristobal,VE,7.7669,-72.225,78.98,67,48,7.09,scattered clouds
44,Huarmey,PE,-10.0681,-78.1522,77.11,71,71,8.19,broken clouds
45,Kaduna,NG,10.5222,7.4383,87.76,9,100,9.44,overcast clouds
46,Bethanien,NA,-26.502,17.1583,83.08,39,49,18.39,scattered clouds
47,Hofn,IS,64.2539,-15.2082,45.03,99,100,20.85,overcast clouds
48,Olafsvik,IS,64.8945,-23.7142,44.91,91,94,40.02,overcast clouds
49,Cape Town,ZA,-33.9258,18.4232,71.35,81,20,18.41,few clouds
50,Maxixe,MZ,-23.8597,35.3472,76.08,82,3,10.13,clear sky
51,Jhudo,PK,24.964,69.2968,69.71,65,0,13.4,clear sky
52,Olinda,BR,-8.0089,-34.8553,83.93,70,40,6.91,scattered clouds
